|   x |   yVerdadeiro |   yCalculado |   Erro Global |
|----:|--------------:|-------------:|--------------:|
| 0   |       1       |        1     |        0      |
| 0.5 |       3.21875 |        5.25  |      -63.1068 |
| 1   |       3       |        5.875 |      -95.8333 |
| 1.5 |       2.21875 |        5.125 |     -130.986  |
| 2   |       2       |        4.5   |     -125      |
| 2.5 |       2.71875 |        4.75  |      -74.7126 |
| 3   |       4       |        5.875 |      -46.875  |
| 3.5 |       4.71875 |        7.125 |      -50.9934 |
| 4   |       3       |        7     |     -133.333  |

