|   x |   yVerdadeiro |   yCalculado |   Erro Global |
|----:|--------------:|-------------:|--------------:|
| 0   |       1       |       1      |       0       |
| 0.5 |       3.21875 |       3.4375 |      -6.79612 |
| 1   |       3       |       3.375  |     -12.5     |
| 1.5 |       2.21875 |       2.6875 |     -21.1268  |
| 2   |       2       |       2.5    |     -25       |
| 2.5 |       2.71875 |       3.1875 |     -17.2414  |
| 3   |       4       |       4.375  |      -9.375   |
| 3.5 |       4.71875 |       4.9375 |      -4.63576 |
| 4   |       3       |       3      |       0       |

