|   x |   yVerdadeiro |   yCalculado |   Erro Global |
|----:|--------------:|-------------:|--------------:|
| 0   |       1       |      1       |       0       |
| 0.5 |       3.21875 |      3.10938 |       3.39806 |
| 1   |       3       |      2.8125  |       6.25    |
| 1.5 |       2.21875 |      1.98438 |      10.5634  |
| 2   |       2       |      1.75    |      12.5     |
| 2.5 |       2.71875 |      2.48438 |       8.62069 |
| 3   |       4       |      3.8125  |       4.6875  |
| 3.5 |       4.71875 |      4.60938 |       2.31788 |
| 4   |       3       |      3       |       0       |

