|   x |   yVerdadeiro |   yCalculado |   Erro Global |
|----:|--------------:|-------------:|--------------:|
| 0   |       1       |      1       |       0       |
| 0.5 |       3.21875 |      3.27734 |      -1.82039 |
| 1   |       3       |      3.10156 |      -3.38542 |
| 1.5 |       2.21875 |      2.34766 |      -5.80986 |
| 2   |       2       |      2.14062 |      -7.03125 |
| 2.5 |       2.71875 |      2.85547 |      -5.02874 |
| 3   |       4       |      4.11719 |      -2.92969 |
| 3.5 |       4.71875 |      4.80078 |      -1.73841 |
| 4   |       3       |      3.03125 |      -1.04167 |

