|   x |   yVerdadeiro |   yCalculado |   Erro Global |
|----:|--------------:|-------------:|--------------:|
| 0   |       1       |      1       |   0           |
| 0.5 |       3.21875 |      3.21875 |   1.37969e-14 |
| 1   |       3       |      3       |   1.4803e-14  |
| 1.5 |       2.21875 |      2.21875 |   2.00153e-14 |
| 2   |       2       |      2       |   1.11022e-14 |
| 2.5 |       2.71875 |      2.71875 |   0           |
| 3   |       4       |      4       |   0           |
| 3.5 |       4.71875 |      4.71875 |   0           |
| 4   |       3       |      3       |  -1.4803e-14  |

